lat,lon,ghi_pvgis_kwh_m2_day,pvout_kwh_kwp,optimal_tilt_deg
51.15,-1.4499999999999993,3.001698630136986,869.28,0.0
51.15,-1.1999999999999993,2.9855342465753427,862.66,0.0
51.15,-0.9499999999999993,3.0100000000000002,870.53,0.0
51.15,-0.6999999999999993,2.9852602739726026,863.89,0.0
51.15,-0.4499999999999993,2.984931506849315,863.58,0.0
51.15,-0.1999999999999993,2.9924383561643837,866.4,0.0
51.15,0.05000000000000071,3.0266575342465756,876.55,0.0
51.15,0.3000000000000007,3.058986301369863,886.05,0.0
51.15,0.5500000000000007,3.0981643835616435,897.56,0.0
51.15,0.8000000000000007,3.1090958904109587,902.79,0.0
51.15,1.0500000000000007,3.1215342465753424,905.49,0.0
51.15,1.3000000000000007,3.1665753424657535,920.76,0.0
51.15,1.5500000000000007,,,
51.15,1.8000000000000007,,,
51.4,-8.2,,,
51.4,-7.949999999999999,,,
51.4,-7.699999999999999,,,
51.4,-7.449999999999999,,,
51.4,-7.199999999999999,,,
51.4,-6.949999999999999,,,
51.4,-6.699999999999999,,,
51.4,-6.449999999999999,,,
51.4,-6.199999999999999,,,
51.4,-5.949999999999999,,,
51.4,-5.699999999999999,,,
51.4,-5.449999999999999,,,
51.4,-5.199999999999999,,,
51.4,-4.949999999999999,,,
51.4,-4.699999999999999,,,
51.4,-4.449999999999999,,,
51.4,-4.199999999999999,,,
51.4,-3.9499999999999993,,,
51.4,-3.6999999999999993,,,
51.4,-3.4499999999999993,3.036109589041096,886.09,0.0
51.4,-3.1999999999999993,,,
51.4,-2.9499999999999993,,,
51.4,-2.6999999999999993,2.940191780821918,853.62,0.0
51.4,-2.4499999999999993,2.9345753424657532,853.02,0.0
51.4,-2.1999999999999993,2.9538630136986304,856.72,0.0
51.4,-1.9499999999999993,2.955369863013699,856.52,0.0
51.4,-1.6999999999999993,2.9372602739726026,851.57,0.0
51.4,-1.4499999999999993,2.935369863013699,849.53,0.0
51.4,-1.1999999999999993,2.9615342465753427,858.1,0.0
51.4,-0.9499999999999993,2.9614246575342467,856.55,0.0
51.4,-0.6999999999999993,2.93586301369863,848.14,0.0
51.4,-0.4499999999999993,2.9556712328767123,853.72,0.0
51.4,-0.1999999999999993,2.9579726027397264,854.82,0.0
51.4,0.05000000000000071,2.980520547945206,861.76,0.0
51.4,0.3000000000000007,3.0193424657534247,873.52,0.0
51.4,0.5500000000000007,3.0295342465753423,875.86,0.0
51.4,0.8000000000000007,3.1192876712328768,905.79,0.0
51.4,1.0500000000000007,,,
51.4,1.3000000000000007,,,
51.4,1.5500000000000007,,,
51.4,1.8000000000000007,,,
51.65,-8.2,,,
51.65,-7.949999999999999,,,
51.65,-7.699999999999999,,,
51.65,-7.449999999999999,,,
51.65,-7.199999999999999,,,
51.65,-6.949999999999999,,,
51.65,-6.699999999999999,,,
51.65,-6.449999999999999,,,
51.65,-6.199999999999999,,,
51.65,-5.949999999999999,,,
51.65,-5.699999999999999,,,
51.65,-5.449999999999999,,,
51.65,-5.199999999999999,,,
51.65,-4.949999999999999,3.095095890410959,906.87,0.0
51.65,-4.699999999999999,,,
51.65,-4.449999999999999,,,
51.65,-4.199999999999999,,,
51.65,-3.9499999999999993,2.9356438356164385,855.05,0.0
51.65,-3.6999999999999993,2.751890410958904,800.14,0.0
51.65,-3.4499999999999993,2.8096164383561644,816.88,0.0
51.65,-3.1999999999999993,2.8656712328767124,831.07,0.0
51.65,-2.9499999999999993,2.9115068493150686,842.03,0.0
51.65,-2.6999999999999993,2.940219178082192,849.43,0.0
51.65,-2.4499999999999993,2.9464109589041096,852.57,0.0
51.65,-2.1999999999999993,2.925972602739726,848.02,0.0
51.65,-1.9499999999999993,2.91627397260274,843.8,0.0
51.65,-1.6999999999999993,2.9372328767123284,850.37,0.0
51.65,-1.4499999999999993,2.9630958904109588,858.0,0.0
51.65,-1.1999999999999993,2.9445753424657535,852.86,0.0
51.65,-0.9499999999999993,2.8976438356164387,838.32,0.0
51.65,-0.6999999999999993,2.8932602739726025,836.48,0.0
51.65,-0.4499999999999993,2.913095890410959,841.75,0.0
51.65,-0.1999999999999993,2.937369863013699,848.72,0.0
