rank,name,site_type,latitude,longitude,score_repd,score_industrial,score_combined,pvout_kwh_kwp,in_protected_area,in_sssi,in_flood_zone,in_grade1_agri,capacity_kwp,annual_gen_kwh,annual_saving_gbp,capex_gbp,payback_yr,npv_gbp,battery_value,fin_score,constraint_score,geo_score,final_score
36,Woodhorn Church Sewage Pumping Station,pumping_station,55.1932543,-1.5297892,0.9755525,0.6719124,0.82373244,781.462922596,0,0,0,0,100.0,78146.0,7033.0,100000.0,14.2,-14469.0,0.75,0.539,1.0,0.8237324500000001,0.745
37,Windlestone STW,wastewater_plant,54.6536506,-1.5493747,0.541365,0.69236344,0.6168642,772.8891684839999,0,0,0,0,500.0,386445.0,49272.0,500000.0,10.1,99198.0,0.45,0.743,1.0,0.6168642200000001,0.744
38,Kirklevington STW,wastewater_plant,54.4846719,-1.3407634,0.31860784,0.9231867,0.6208973,764.1249809640001,0,0,0,0,500.0,382062.0,48713.0,500000.0,10.3,92403.0,0.45,0.737,1.0,0.62089727,0.743
39,Darlington Wastewater Treatment Plant,wastewater_plant,54.4986152,-1.5555549,0.8285284,0.40059805,0.6145632,773.6811959400002,0,0,0,0,500.0,386841.0,49322.0,500000.0,10.1,99812.0,0.45,0.743,1.0,0.614563225,0.743
40,,pumping_station,54.5514537,-1.2887195,0.83908045,0.7824574,0.81076896,766.6282860640005,0,0,0,0,100.0,76663.0,6900.0,100000.0,14.5,-16093.0,0.75,0.525,1.0,0.810768925,0.734
41,Newby STW,wastewater_plant,54.5015023,-1.2215606,0.45476028,0.73818415,0.5964722,761.13891614,0,0,0,0,500.0,380569.0,48523.0,500000.0,10.3,90088.0,0.45,0.735,1.0,0.596472215,0.733
42,Washington Sewage Treatment Works,wastewater_plant,54.8952999,-1.4909747,0.2515335,0.91069746,0.5811155,779.27442392,0,0,0,0,500.0,389637.0,49679.0,500000.0,10.1,104148.0,0.45,0.747,1.0,0.58111548,0.731
43,Sunderland Bridge STW,wastewater_plant,54.7328754,-1.5916866,0.25004876,0.91754395,0.5837964,770.3977944,0,0,0,0,500.0,385199.0,49113.0,500000.0,10.2,97267.0,0.45,0.741,1.0,0.583796355,0.73
44,,reservoir_covered,55.1313746,-1.6020169,0.9779312,0.4791427,0.72853696,780.530292924,0,0,0,0,150.0,117080.0,11415.0,150000.0,13.1,-11178.0,0.55,0.593,1.0,0.72853695,0.729
45,Lumley Water Treatment Works,wastewater_plant,54.8373212,-1.5326966,0.30597258,0.8531674,0.57957,775.1928891199999,0,0,0,0,500.0,387596.0,49419.0,500000.0,10.1,100984.0,0.45,0.744,1.0,0.57956999,0.729
46,Mordon STW,wastewater_plant,54.6306462,-1.4929846,0.33884865,0.7720603,0.5554545,776.1711663199999,0,0,0,0,500.0,388086.0,49481.0,500000.0,10.1,101742.0,0.45,0.745,1.0,0.555454475,0.72
47,Shincliffe Mill Sewage Pumping Station,pumping_station,54.7662651,-1.5461603,0.7337356,0.99510103,0.8644183,772.92097688,0,0,0,1,100.0,77292.0,6956.0,100000.0,14.4,-15404.0,0.75,0.531,0.8,0.864418315,0.718
48,,pumping_station,54.8521946,-1.5580934,0.81154656,0.71366596,0.76260626,773.623419872,0,0,0,0,100.0,77362.0,6963.0,100000.0,14.4,-15327.0,0.75,0.532,1.0,0.7626062600000001,0.718
49,Low Pittington Sewage Pumping Station,pumping_station,54.7963687,-1.4963098,0.62435305,0.8906431,0.7574981,777.0832307840001,0,0,0,0,100.0,77708.0,6994.0,100000.0,14.3,-14948.0,0.75,0.535,1.0,0.757498075,0.717
50,Hamsterley STW,wastewater_plant,54.6711032,-1.813317,0.21636371,0.8900715,0.5532176,760.9177143759999,0,0,0,0,500.0,380459.0,48509.0,500000.0,10.3,89917.0,0.45,0.735,1.0,0.553217605,0.715
51,Kelloe wastewater treatment works,wastewater_plant,54.7170008,-1.4749119,0.15128641,0.92375344,0.53751993,777.1864800799999,0,0,0,0,500.0,388593.0,49546.0,500000.0,10.1,102530.0,0.45,0.745,1.0,0.537519925,0.713
52,,reservoir_covered,54.7467991,-1.4530204,0.8496266,0.51677537,0.68320096,779.316696992,0,0,0,0,150.0,116898.0,11398.0,150000.0,13.2,-11394.0,0.55,0.592,1.0,0.683200985,0.71
53,Humshaugh STW,wastewater_plant,55.0313201,-2.1246587,0.28714624,0.81449,0.55081815,744.703375796,0,0,0,0,500.0,372352.0,47475.0,500000.0,10.5,77346.0,0.45,0.723,1.0,0.55081812,0.71
54,Ushaw Moor STW,wastewater_plant,54.7804983,-1.6620472,0.28450572,0.7734138,0.52895975,766.70240002,0,0,0,0,500.0,383351.0,48877.0,500000.0,10.2,94402.0,0.45,0.739,1.0,0.52895976,0.707
55,Beaumont Hill,reservoir_covered,54.5639608,-1.5627794,0.5642535,0.7884239,0.6763387,774.4932925200001,0,0,0,0,150.0,116174.0,11327.0,150000.0,13.2,-12252.0,0.55,0.588,1.0,0.6763387,0.706
56,East Tanfield STW,wastewater_plant,54.8887723,-1.6985542,0.94636554,0.0996209,0.5229932,764.3404599,0,0,0,0,500.0,382170.0,48727.0,500000.0,10.3,92570.0,0.45,0.737,1.0,0.5229932199999999,0.704
57,Wear Valley Junction STW,wastewater_plant,54.6796576,-1.745399,0.13149658,0.9137928,0.5226447,763.575341368,0,0,0,0,500.0,381788.0,48678.0,500000.0,10.3,91977.0,0.45,0.736,1.0,0.52264469,0.703
58,Chilton Lane STW,wastewater_plant,54.6673514,-1.5208374,0.03841888,0.98373955,0.5110792,774.212324944,0,0,0,0,500.0,387106.0,49356.0,500000.0,10.1,100224.0,0.45,0.743,1.0,0.511079215,0.702
59,Croxdale Sewage Pumping Station,pumping_station,54.7242873,-1.5904646,0.67449105,0.7722964,0.72339374,770.503263332,0,0,0,0,100.0,77050.0,6935.0,100000.0,14.4,-15668.0,0.75,0.529,1.0,0.723393725,0.701
60,Hebron STW,wastewater_plant,55.1995582,-1.6957593,0.21387516,0.79706174,0.5054684,776.035421308,0,0,0,0,500.0,388018.0,49472.0,500000.0,10.1,101637.0,0.45,0.745,1.0,0.50546845,0.7
61,,pumping_station,55.029067,-1.5484677,0.42837098,0.99724185,0.7128064,780.21892078,0,0,0,0,100.0,78022.0,7022.0,100000.0,14.2,-14605.0,0.75,0.538,1.0,0.712806415,0.7
62,Fourstones STW,wastewater_plant,55.0036373,-2.1798487,0.8813672,0.37652305,0.6289451,739.1931049640001,0,0,0,1,500.0,369597.0,47124.0,500000.0,10.6,73074.0,0.45,0.719,0.8,0.628945125,0.699
63,Longhirst Village WwTW,wastewater_plant,55.1926847,-1.6474572,0.122167006,0.8736722,0.4979196,779.6355595680001,0,0,0,0,500.0,389818.0,49702.0,500000.0,10.1,104428.0,0.45,0.747,1.0,0.497919603,0.698
64,Trimdon Village STW,wastewater_plant,54.7030233,-1.4172877,0.18897402,0.79027826,0.48962614,778.38254366,0,0,0,0,500.0,389191.0,49622.0,500000.0,10.1,103457.0,0.45,0.746,1.0,0.48962614,0.694
65,,wastewater_plant,55.2354458,-1.5384582,0.015763566,0.9426831,0.47922334,781.618951996,0,0,0,0,500.0,390809.0,49828.0,500000.0,10.0,105966.0,0.45,0.748,1.0,0.479223333,0.691
66,Newfield STW,wastewater_plant,54.695948,-1.6900962,0.16093495,0.80525875,0.48309684,765.780050536,0,0,0,0,500.0,382890.0,48818.0,500000.0,10.2,93687.0,0.45,0.738,1.0,0.48309685,0.688
67,Berwick Hill STW,wastewater_plant,55.0733664,-1.7286059,0.19211927,0.75919706,0.47565818,769.500778568,0,0,0,0,500.0,384750.0,49056.0,500000.0,10.2,96571.0,0.45,0.74,1.0,0.475658165,0.686
68,Attlee Terrace Sewage Pumping Station,pumping_station,55.1857319,-1.50567,0.57148635,0.7759169,0.67370164,780.980471764,0,0,0,0,100.0,78098.0,7029.0,100000.0,14.2,-14522.0,0.75,0.539,1.0,0.6737016250000001,0.685
69,Evenwood STW,wastewater_plant,54.6108926,-1.7413277,0.60319555,0.33583313,0.46951434,763.0347947399999,0,0,0,0,500.0,381517.0,48643.0,500000.0,10.3,91558.0,0.45,0.736,1.0,0.46951434000000003,0.682
70,Norham STW,wastewater_plant,55.7215318,-2.1570433,0.750449,0.37565386,0.56305146,768.6716489080002,0,0,0,1,500.0,384336.0,49003.0,500000.0,10.2,95928.0,0.45,0.74,0.8,0.56305143,0.681
71,Wooley Hospital STW,wastewater_plant,54.9304755,-2.0482664,0.000129142,0.9503941,0.47526163,747.500170984,0,0,0,0,500.0,373750.0,47653.0,500000.0,10.5,79515.0,0.45,0.725,1.0,0.475261621,0.68
72,Stokesley STW,wastewater_plant,54.4626991,-1.1942009,0.37492713,0.53755295,0.45624006,757.4778760920003,0,0,0,0,500.0,378739.0,48289.0,500000.0,10.4,87250.0,0.45,0.732,1.0,0.45624004,0.675
73,Newton STW,wastewater_plant,54.9729713,-1.9450304,0.2610479,0.6166382,0.43884304,758.2021574639999,0,0,0,0,500.0,379101.0,48335.0,500000.0,10.3,87812.0,0.45,0.733,1.0,0.43884305,0.669
74,Snitter (& Thropton) STW,wastewater_plant,55.3204735,-1.9550862,0.006278259,0.8737042,0.43999124,755.895258984,0,0,0,0,500.0,377948.0,48188.0,500000.0,10.4,86023.0,0.45,0.731,1.0,0.4399912295,0.668
75,Murton WTW,water_works,55.7314119,-2.0475132,0.30764714,0.61478764,0.4612174,770.053124244,0,0,0,0,300.0,231016.0,27722.0,300000.0,10.8,37129.0,0.5,0.709,1.0,0.46121738999999995,0.668
76,Skinningrove STW,wastewater_plant,54.5718484,-0.9048356,0.4014536,0.44134364,0.42139864,769.149775688,0,0,0,0,500.0,384575.0,49033.0,500000.0,10.2,96299.0,0.45,0.74,1.0,0.42139862,0.665
77,Station Avenue Esh Winning Sewage Pumping Station,pumping_station,54.7688838,-1.7038304,0.7434301,0.51275235,0.6280912,764.755088264,0,0,0,0,100.0,76476.0,6883.0,100000.0,14.5,-16298.0,0.75,0.524,1.0,0.6280912249999999,0.661
78,,reservoir_covered,54.8655611,-1.3715092,0.32009596,0.7951444,0.55762017,779.201691056,0,0,0,0,150.0,116880.0,11396.0,150000.0,13.2,-11414.0,0.55,0.592,1.0,0.55762018,0.66
79,Esh Winning Sewage Treatment Works,wastewater_plant,54.7749978,-1.6902208,0.05374885,0.76639986,0.41007435,765.3534101679999,0,0,0,0,500.0,382677.0,48791.0,500000.0,10.2,93356.0,0.45,0.738,1.0,0.410074355,0.659
80,Wooler WTW,water_works,55.5518936,-2.0117025,0.6785251,0.20311353,0.44081932,759.431897668,0,0,0,0,300.0,227830.0,27340.0,300000.0,11.0,32479.0,0.5,0.701,1.0,0.440819315,0.657
81,Mickleton STW,wastewater_plant,54.610449,-2.0428932,0.0009001362,0.8391392,0.4200197,738.043690736,0,0,0,0,500.0,369022.0,47050.0,500000.0,10.6,72183.0,0.45,0.719,1.0,0.42001966809999997,0.656
82,,reservoir_covered,55.0900021,-1.6299827,0.86737925,0.2043227,0.535851,776.3850967239999,0,0,0,0,150.0,116458.0,11355.0,150000.0,13.2,-11915.0,0.55,0.589,1.0,0.535850975,0.65
83,Alnwick STW,wastewater_plant,55.4122819,-1.6811144,0.2986926,0.43618336,0.367438,783.0071609299997,0,0,0,0,500.0,391504.0,49917.0,500000.0,10.0,107042.0,0.45,0.749,1.0,0.36743798,0.647
84,Carlton In Cleveland STW,wastewater_plant,54.4375791,-1.2197225,0.5134814,0.7542513,0.6338663,755.0258317120002,1,0,0,0,500.0,377513.0,48133.0,500000.0,10.4,85349.0,0.45,0.731,0.5,0.6338663499999999,0.646
85,Sheraton STW,wastewater_plant,54.7071738,-1.3155184,0.19613026,0.53279895,0.3644646,777.355069568,0,0,0,0,500.0,388678.0,49556.0,500000.0,10.1,102660.0,0.45,0.746,1.0,0.364464605,0.644
86,Heugh Hall STW,wastewater_plant,54.7323875,-1.5127249,0.44596976,0.2796522,0.36281097,774.7264472479999,0,0,0,0,500.0,387363.0,49389.0,500000.0,10.1,100622.0,0.45,0.744,1.0,0.36281098,0.643
87,Summerhouse STW,wastewater_plant,54.5658272,-1.6874867,0.027401602,0.88611877,0.4567602,768.3440103479999,0,0,0,1,500.0,384172.0,48982.0,500000.0,10.2,95674.0,0.45,0.74,0.8,0.45676018599999996,0.639
88,Fir Tree STW,wastewater_plant,54.7024751,-1.7887239,0.30689365,0.3966468,0.35177022,761.729621248,0,0,0,0,500.0,380865.0,48560.0,500000.0,10.3,90546.0,0.45,0.735,1.0,0.351770225,0.635
